what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1286988761265
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090731,"org.eclipse.pde.runtime",1286988761265
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1286988761265
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1286988761312
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1286988761312
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1286988761312
stopped,bundle,com.aptana.ide.desktop.integration,2.0.0.1253913567,"com.aptana.ide.desktop.integration",1286988761312
stopped,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1253913567,"com.aptana.ide.desktop.integration.server",1286988761312
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1286988761312
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1286988761312
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.2.0.20090617-0522,"org.eclipse.wtp.epp.package.jee.intro",1286988761312
stopped,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1286988761312
stopped,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1286988761312
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1299809783343
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1299809783343
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1299809783359
started,bundle,com.aptana.ide.core,2.0.0.1258063583,"com.aptana.ide.core",1299809783359
started,bundle,com.aptana.ide.core.ui,2.0.2.1257900571,"com.aptana.ide.core.ui",1299809783359
started,bundle,com.aptana.ide.debug.core,2.0.0.1264471652,"com.aptana.ide.debug.core",1299809783359
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1299809783359
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1253913567,"com.aptana.ide.desktop.integration.protocolhandler",1299809783359
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1253913567,"com.aptana.ide.desktop.integration.server",1299809783359
started,bundle,com.aptana.ide.documentation,2.0.0.1256597898,"com.aptana.ide.documentation",1299809783359
started,bundle,com.aptana.ide.editors,2.0.0.1256761519,"com.aptana.ide.editors",1299809783359
started,bundle,com.aptana.ide.epl,2.0.0.1256160806,"com.aptana.ide.epl",1299809783359
started,bundle,com.aptana.ide.installer,2.0.0.1255027359,"com.aptana.ide.installer",1299809783359
started,bundle,com.aptana.ide.intro,2.0.0.1256597898,"com.aptana.ide.intro",1299809783359
started,bundle,com.aptana.ide.samples.ui,2.0.0.1265135074,"com.aptana.ide.samples.ui",1299809783359
started,bundle,com.aptana.ide.scripting,2.0.0.1260993686,"com.aptana.ide.scripting",1299809783359
started,bundle,com.aptana.ide.server,2.0.0.1253913567,"com.aptana.ide.server",1299809783359
started,bundle,com.aptana.ide.server.core,2.0.0.1253913567,"com.aptana.ide.server.core",1299809783359
started,bundle,com.aptana.ide.server.jetty,2.0.0.1256341583,"com.aptana.ide.server.jetty",1299809783359
started,bundle,com.aptana.ide.server.portal,2.0.0.1261003788,"com.aptana.ide.server.portal",1299809783359
started,bundle,com.aptana.ide.server.ui,2.0.0.1253913567,"com.aptana.ide.server.ui",1299809783359
started,bundle,com.aptana.ide.update,2.0.0.1256853725,"com.aptana.ide.update",1299809783359
